N_BFS;N_CNC;Situacao_CNC;Data_Sincronizacao;Data_Fiscalizacao;Data_Execução;Fiscal;Regional;Area;Setor;Turno;Servico;Responsividade;Endereco;Coordenada;Fiscal_Contratada
15726;15011;Regularizado;17/11/2025 09:17:40;17/11/2025 09:17:34;17/11/2025 13:28:35;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;12;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Viela 01 e 02 da Segunda Comunidade, 4 - Vila Mazzei, São Paulo - SP, 02240-000, Brasil;-23.476531941493917,-46.600795178262665;Huque Souza Santos
15731;15015;Regularizado;17/11/2025 09:19:47;17/11/2025 09:19:41;17/11/2025 10:38:53;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;12;Manhã;Varrição manual de vias e logradouros públicos;6;Viela da Terceira Comunidade, 3 - Vila Mazzei, São Paulo - SP, 02240-000, Brasil;-23.47670451087055,-46.600925917956154;Leandro Correa
15756;15032;Regularizado;17/11/2025 09:26:40;17/11/2025 09:26:32;17/11/2025 09:55:20;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;31;Manhã;Varrição manual de vias e logradouros públicos;6;R. Claudino Inácio Joaquim, 320 - SALA 8 - Vila Mazzei, São Paulo - SP, 02308-130, Brasil;-23.479952352656532,-46.60425500243046;Huque Souza Santos
15771;15043;Regularizado;17/11/2025 09:31:15;17/11/2025 09:31:10;17/11/2025 11:05:36;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Mazzei, 10 - Vila Mazzei, São Paulo - SP, 02310-000, Brasil;-23.478860088730425,-46.60733188850042;Matheus Norberto Portela
15780;15050;Regularizado;17/11/2025 09:33:45;17/11/2025 09:33:39;17/11/2025 12:54:32;João Batista Gomes de Souza;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Alameda Sargento Assad Feres, 35 - Parque Novo Mundo, São Paulo - SP, 02176-030, Brasil;-23.513546938296916,-46.57150952589074;Jeferson Alexandre Anacleto
15835;15092;Regularizado;17/11/2025 09:49:34;17/11/2025 09:49:28;17/11/2025 11:16:14;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;38;Manhã;Varrição manual de vias e logradouros públicos;6;Rua Careaçu, 196 - Jardim Franca, São Paulo - SP, 02339-000, Brasil;-23.477587457588914,-46.61772091282368;Leandro Correa
15852;15103;Regularizado;17/11/2025 09:56:12;17/11/2025 09:56:06;17/11/2025 11:23:07;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;23;Manhã;Varrição manual de vias e logradouros públicos;6;Av. Água Fria, 1842 - Santana, São Paulo - SP, 02332-001, Brasil;-23.47329039814574,-46.61817476000255;Leandro Correa
15861;15110;Regularizado;17/11/2025 10:01:10;17/11/2025 10:01:04;17/11/2025 12:59:37;João Batista Gomes de Souza;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Sd. Aristides Gouveia, 46a - Parque Novo Mundo, São Paulo - SP, 02188-090, Brasil;-23.510842845472776,-46.56843068393975;Jeferson Alexandre Anacleto
15898;15145;Regularizado;17/11/2025 10:13:07;17/11/2025 10:13:00;17/11/2025 11:29:23;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;6;Manhã;Varrição manual de vias e logradouros públicos;6;Rua César Muzzio, 56 - Vila Vitorio Mazzei, São Paulo - SP, 02409-020, Brasil;-23.47923,-46.625355;Leandro Correa
15919;15159;Regularizado;17/11/2025 10:21:05;17/11/2025 10:20:56;17/11/2025 13:25:29;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Daniel Malettini, 744 - Vila Aurora (Zona Norte), São Paulo - SP, 02411-000, Brasil;-23.473605688534924,-46.62532392719136;Leandro Correa
15991;15203;Regularizado;17/11/2025 10:37:59;17/11/2025 10:37:50;17/11/2025 11:59:38;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Travessa Barão de Silva Nunes, 105 - Vila Romero, São Paulo - SP, 02469-127, Brasil;-23.487178891089147,-46.64662826310667;Matheus Norberto Portela
16035;15232;Regularizado;17/11/2025 10:58:19;17/11/2025 10:58:11;17/11/2025 11:42:40;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;72;Manhã;Varrição manual de vias e logradouros públicos;6;R. Cap. Amaral, 116 - Santana, São Paulo - SP, 02020-080, Brasil;-23.49355731721165,-46.63363000886502;Leandro Correa
16067;15254;Regularizado;17/11/2025 11:07:58;17/11/2025 11:07:51;17/11/2025 11:36:01;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;73;Manhã;Varrição manual de vias e logradouros públicos;6;Rua Alphonsus de Guimaraens, 106 - Santana, São Paulo - SP, 02404-030, Brasil;-23.492659180518203,-46.62799499094736;Leandro Correa
16137;15287;Regularizado;17/11/2025 11:29:36;17/11/2025 11:29:29;17/11/2025 13:17:47;Vicente Malanga;Santana/Tucuruvi;Santana/Tucuruvi;;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Luiz Dumont Villares, 2211 - Parada Inglesa, São Paulo - SP, 02085-100, Brasil;-23.482380309088807,-46.60616816692695;Huque Souza Santos
16212;15338;Regularizado;17/11/2025 12:43:56;17/11/2025 12:43:50;17/11/2025 14:51:56;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Emile Verhaeren, 268 - Vila Maria Alta, São Paulo - SP, 02133-020, Brasil;-23.4987372,-46.5855633;Marcos Aurélio Silva do Prado
16217;15342;Regularizado;17/11/2025 13:32:03;17/11/2025 13:31:57;17/11/2025 17:19:12;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Vianópolis, 327 - Vila Maria Alta, São Paulo - SP, 02131-050, Brasil;-23.5041474,-46.5831518;Marcos Aurélio Silva do Prado
16218;15343;Regularizado;17/11/2025 13:36:03;17/11/2025 13:35:57;17/11/2025 19:09:33;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Samurais, 873a - Vila Maria Alta, São Paulo - SP, 02130-080, Brasil;-23.5065448752609,-46.58568255940397;Marcos Aurélio Silva do Prado
16219;15344;Regularizado;17/11/2025 13:39:07;17/11/2025 13:39:01;17/11/2025 20:47:17;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Sobral Júnior, 561 - Vila Maria Alta, São Paulo - SP, 02130-020, Brasil;-23.5053767,-46.5897633;Ednilson Gomes Santiago
16220;15345;Regularizado;17/11/2025 13:44:34;17/11/2025 13:44:28;17/11/2025 17:37:32;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Srg. Agostinho Ferreira, 914 - Vila Maria Alta, São Paulo - SP, 02129-001, Brasil;-23.5040567,-46.5858183;Marcos Aurélio Silva do Prado
16224;15346;Regularizado;17/11/2025 13:46:29;17/11/2025 13:46:23;17/11/2025 17:46:01;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Rua Santa Maria Goretti, 213a - Vila Maria Alta, São Paulo - SP, 02131-110, Brasil;-23.5024,-46.5866467;Marcos Aurélio Silva do Prado
16226;15347;Regularizado;17/11/2025 13:48:58;17/11/2025 13:48:52;17/11/2025 18:08:48;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Tv. Escravo Alexandre da Silva, 2 - Jardim Japao, São Paulo - SP, 02133-045, Brasil;-23.501317810502627,-46.584985553852455;Marcos Aurélio Silva do Prado
16227;15348;Regularizado;17/11/2025 13:52:22;17/11/2025 13:52:15;17/11/2025 15:05:08;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Belisário Pena, 496 - Vila Maria Alta, São Paulo - SP, 02133-000, Brasil;-23.49833,-46.5837233;Marcos Aurélio Silva do Prado
16228;15349;Regularizado;17/11/2025 13:53:56;17/11/2025 13:53:50;17/11/2025 15:12:32;Sérgio Roberto da Silva;Vila Maria/Vila Guilherme;Vila Maria/Vila Guilherme;00;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Belisário Pena, 548 - Vila Maria Alta, São Paulo - SP, 02133-000, Brasil;-23.4980883,-46.5841283;Marcos Aurélio Silva do Prado
